,Area,Year,Item,Element Code,Unit,value
502550,South-eastern Asia,1964-01-01,"Corn, all",5312,ha,6730456.0
502556,South-eastern Asia,1964-01-01,"Cow peas, dry",5312,ha,28534.0
502560,South-eastern Asia,1964-01-01,Cucumbers and gherkins,5312,ha,30603.0
502564,South-eastern Asia,1964-01-01,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",5312,ha,239156.0
502568,South-eastern Asia,1964-01-01,"Ginger, raw",5312,ha,4900.0
502572,South-eastern Asia,1964-01-01,Grapes,5312,ha,100.0
502575,South-eastern Asia,1964-01-01,Green garlic,5312,ha,28270.0
502579,South-eastern Asia,1964-01-01,"Groundnuts, excluding shelled",5312,ha,1144523.0
502586,South-eastern Asia,1964-01-01,"Jute, raw or retted",5312,ha,39616.0
502590,South-eastern Asia,1964-01-01,Kapok fruit,5312,ha,145900.0
502594,South-eastern Asia,1964-01-01,Lemons and limes,5312,ha,12454.0
502597,South-eastern Asia,1964-01-01,"Lentils, dry",5312,ha,2019.0
502600,South-eastern Asia,1964-01-01,Lettuce and chicory,5312,ha,11.0
502603,South-eastern Asia,1964-01-01,"Mangoes, guavas and mangosteens",5312,ha,163947.0
502607,South-eastern Asia,1964-01-01,Millet,5312,ha,143642.0
502613,South-eastern Asia,1964-01-01,Mustard seed,5312,ha,3441.0
502619,South-eastern Asia,1964-01-01,"Nutmeg, mace, cardamoms, raw",5312,ha,12700.0
502625,South-eastern Asia,1964-01-01,Oil palm fruit,5312,ha,134000.0
502628,South-eastern Asia,1964-01-01,"Onions and shallots, dry (excluding dehydrated)",5312,ha,117726.0
502631,South-eastern Asia,1964-01-01,"Onions and shallots, green",5312,ha,2524.0
502634,South-eastern Asia,1964-01-01,Oranges,5312,ha,49850.0
502639,South-eastern Asia,1964-01-01,Papayas,5312,ha,40850.0
502642,South-eastern Asia,1964-01-01,"Peas, dry",5312,ha,23045.0
502645,South-eastern Asia,1964-01-01,"Peas, green",5312,ha,6500.0
502648,South-eastern Asia,1964-01-01,"Pepper (Piper spp.), raw",5312,ha,42920.0
502652,South-eastern Asia,1964-01-01,"Pigeon peas, dry",5312,ha,73015.0
502655,South-eastern Asia,1964-01-01,Pineapples,5312,ha,112130.0
502658,South-eastern Asia,1964-01-01,Plantains and cooking bananas,5312,ha,31971.0
502661,South-eastern Asia,1964-01-01,Pomelos and grapefruits,5312,ha,14500.0
502664,South-eastern Asia,1964-01-01,Potatoes,5312,ha,36688.0
502668,South-eastern Asia,1964-01-01,"Pumpkins, squash and gourds",5312,ha,13210.0
502671,South-eastern Asia,1964-01-01,"Ramie, raw or retted",5312,ha,3590.0
502687,South-eastern Asia,1964-01-01,Rice,5312,ha,30314255.0
502690,South-eastern Asia,1964-01-01,"Seed cotton, unginned",5312,ha,341032.0
502693,South-eastern Asia,1964-01-01,Sesame seed,5312,ha,422565.0
502700,South-eastern Asia,1964-01-01,"Sisal, raw",5312,ha,4200.0
502703,South-eastern Asia,1964-01-01,Sorghum,5312,ha,8200.0
502707,South-eastern Asia,1964-01-01,Soya beans,5312,ha,668132.0
502710,South-eastern Asia,1964-01-01,Sugar cane,5312,ha,517777.0
502713,South-eastern Asia,1964-01-01,Sunflower seed,5312,ha,340.0
502717,South-eastern Asia,1964-01-01,Sweet potatoes,5312,ha,1031346.0
502722,South-eastern Asia,1964-01-01,"Tangerines, mandarins, clementines",5312,ha,30060.0
502725,South-eastern Asia,1964-01-01,Taro,5312,ha,32010.0
502728,South-eastern Asia,1964-01-01,Tea leaves,5312,ha,168349.0
502731,South-eastern Asia,1964-01-01,Tomatoes,5312,ha,23780.0
502735,South-eastern Asia,1964-01-01,Unmanufactured tobacco,5312,ha,392510.0
502738,South-eastern Asia,1964-01-01,"Vanilla, raw",5312,ha,1000.0
502741,South-eastern Asia,1964-01-01,Watermelons,5312,ha,36450.0
502744,South-eastern Asia,1964-01-01,Wheat,5312,ha,80107.0
502747,South-eastern Asia,1964-01-01,Yams,5312,ha,5930.0
502751,South-eastern Asia,1965-01-01,"Abaca, manila hemp, raw",5312,ha,200829.0
502754,South-eastern Asia,1965-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2720.0
