,Area,Year,Item,Element Code,Unit,value
509983,South-eastern Asia,1990-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3216.0
509986,South-eastern Asia,1990-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1300.0
509989,South-eastern Asia,1990-01-01,Areca nuts,5312,ha,135626.0
509992,South-eastern Asia,1990-01-01,Asparagus,5312,ha,2262.0
509996,South-eastern Asia,1990-01-01,Avocados,5312,ha,28816.0
509999,South-eastern Asia,1990-01-01,Bananas,5312,ha,710621.0
510002,South-eastern Asia,1990-01-01,Barley,5312,ha,803.0
510005,South-eastern Asia,1990-01-01,"Beans, dry",5312,ha,1596823.0
510012,South-eastern Asia,1990-01-01,"Broad beans and horse beans, green",5312,ha,132.0
510291,South-eastern Asia,1991-01-01,"Abaca, manila hemp, raw",5312,ha,104866.0
510294,South-eastern Asia,1991-01-01,"Agave fibres, raw, n.e.c.",5312,ha,4115.0
510297,South-eastern Asia,1991-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1316.0
510300,South-eastern Asia,1991-01-01,Areca nuts,5312,ha,135434.0
510303,South-eastern Asia,1991-01-01,Asparagus,5312,ha,2797.0
510307,South-eastern Asia,1991-01-01,Avocados,5312,ha,31778.0
510310,South-eastern Asia,1991-01-01,Bananas,5312,ha,731325.0
510313,South-eastern Asia,1991-01-01,Barley,5312,ha,1951.0
510316,South-eastern Asia,1991-01-01,"Beans, dry",5312,ha,1644247.0
510321,South-eastern Asia,1991-01-01,"Broad beans and horse beans, green",5312,ha,188.0
510619,South-eastern Asia,1992-01-01,"Abaca, manila hemp, raw",5312,ha,102695.0
510622,South-eastern Asia,1992-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3979.0
510625,South-eastern Asia,1992-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1500.0
510628,South-eastern Asia,1992-01-01,Areca nuts,5312,ha,136521.0
510631,South-eastern Asia,1992-01-01,Asparagus,5312,ha,3547.0
510635,South-eastern Asia,1992-01-01,Avocados,5312,ha,32672.0
510638,South-eastern Asia,1992-01-01,Bananas,5312,ha,680755.0
510641,South-eastern Asia,1992-01-01,Barley,5312,ha,2895.0
510644,South-eastern Asia,1992-01-01,"Beans, dry",5312,ha,1862150.0
510649,South-eastern Asia,1992-01-01,"Broad beans and horse beans, green",5312,ha,190.0
510947,South-eastern Asia,1993-01-01,"Abaca, manila hemp, raw",5312,ha,102764.0
510950,South-eastern Asia,1993-01-01,"Agave fibres, raw, n.e.c.",5312,ha,3833.0
510953,South-eastern Asia,1993-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1600.0
510956,South-eastern Asia,1993-01-01,Areca nuts,5312,ha,123553.0
510959,South-eastern Asia,1993-01-01,Asparagus,5312,ha,4164.0
510963,South-eastern Asia,1993-01-01,Avocados,5312,ha,24235.0
510966,South-eastern Asia,1993-01-01,Bananas,5312,ha,686086.0
510969,South-eastern Asia,1993-01-01,Barley,5312,ha,6000.0
510972,South-eastern Asia,1993-01-01,"Beans, dry",5312,ha,1970320.0
510977,South-eastern Asia,1993-01-01,"Broad beans and horse beans, green",5312,ha,239.0
511275,South-eastern Asia,1994-01-01,"Abaca, manila hemp, raw",5312,ha,103777.0
511278,South-eastern Asia,1994-01-01,"Agave fibres, raw, n.e.c.",5312,ha,2660.0
511281,South-eastern Asia,1994-01-01,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",5312,ha,1300.0
