,Area,Year,Item,Element Code,Unit,value
15481,World,1992-01-01,Spinach,5419,hg/ha,130814.0
15542,World,1992-01-01,Watermelons,5419,hg/ha,162975.0
15545,World,1992-01-01,Wheat,5419,hg/ha,25340.0
15703,World,1993-01-01,Cranberries,5419,hg/ha,143777.0
15707,World,1993-01-01,Cucumbers and gherkins,5419,hg/ha,155815.0
15750,World,1993-01-01,"Ginger, raw",5419,hg/ha,28336.0
15762,World,1993-01-01,Green garlic,5419,hg/ha,92420.0
15853,World,1993-01-01,Oil palm fruit,5419,hg/ha,105087.0
15924,World,1993-01-01,"Pumpkins, squash and gourds",5419,hg/ha,123612.0
15940,World,1993-01-01,Rape or colza seed,5419,hg/ha,13179.0
15996,World,1993-01-01,Spinach,5419,hg/ha,132712.0
16057,World,1993-01-01,Watermelons,5419,hg/ha,169873.0
16060,World,1993-01-01,Wheat,5419,hg/ha,25370.0
16218,World,1994-01-01,Cranberries,5419,hg/ha,162980.0
16222,World,1994-01-01,Cucumbers and gherkins,5419,hg/ha,155237.0
16265,World,1994-01-01,"Ginger, raw",5419,hg/ha,24750.0
16277,World,1994-01-01,Green garlic,5419,hg/ha,91677.0
16368,World,1994-01-01,Oil palm fruit,5419,hg/ha,104003.0
16439,World,1994-01-01,"Pumpkins, squash and gourds",5419,hg/ha,120817.0
16455,World,1994-01-01,Rape or colza seed,5419,hg/ha,13203.0
16511,World,1994-01-01,Spinach,5419,hg/ha,134990.0
16572,World,1994-01-01,Watermelons,5419,hg/ha,173384.0
16575,World,1994-01-01,Wheat,5419,hg/ha,24777.0
16733,World,1995-01-01,Cranberries,5419,hg/ha,145277.0
16737,World,1995-01-01,Cucumbers and gherkins,5419,hg/ha,158101.0
16780,World,1995-01-01,"Ginger, raw",5419,hg/ha,25310.0
16792,World,1995-01-01,Green garlic,5419,hg/ha,96264.0
16883,World,1995-01-01,Oil palm fruit,5419,hg/ha,105997.0
16954,World,1995-01-01,"Pumpkins, squash and gourds",5419,hg/ha,124731.0
16970,World,1995-01-01,Rape or colza seed,5419,hg/ha,14226.0
17026,World,1995-01-01,Spinach,5419,hg/ha,133734.0
17087,World,1995-01-01,Watermelons,5419,hg/ha,178368.0
17090,World,1995-01-01,Wheat,5419,hg/ha,24958.0
17248,World,1996-01-01,Cranberries,5419,hg/ha,152805.0
17252,World,1996-01-01,Cucumbers and gherkins,5419,hg/ha,164119.0
17295,World,1996-01-01,"Ginger, raw",5419,hg/ha,29381.0
17307,World,1996-01-01,Green garlic,5419,hg/ha,101123.0
17398,World,1996-01-01,Oil palm fruit,5419,hg/ha,106097.0
17469,World,1996-01-01,"Pumpkins, squash and gourds",5419,hg/ha,124959.0
17485,World,1996-01-01,Rape or colza seed,5419,hg/ha,14035.0
17541,World,1996-01-01,Spinach,5419,hg/ha,135704.0
17602,World,1996-01-01,Watermelons,5419,hg/ha,194132.0
17605,World,1996-01-01,Wheat,5419,hg/ha,25640.0
17763,World,1997-01-01,Cranberries,5419,hg/ha,159480.0
17767,World,1997-01-01,Cucumbers and gherkins,5419,hg/ha,159866.0
17810,World,1997-01-01,"Ginger, raw",5419,hg/ha,30299.0
17822,World,1997-01-01,Green garlic,5419,hg/ha,96307.0
17913,World,1997-01-01,Oil palm fruit,5419,hg/ha,107697.0
17984,World,1997-01-01,"Pumpkins, squash and gourds",5419,hg/ha,126236.0
18000,World,1997-01-01,Rape or colza seed,5419,hg/ha,15025.0
18056,World,1997-01-01,Spinach,5419,hg/ha,132996.0
18117,World,1997-01-01,Watermelons,5419,hg/ha,233742.0
18120,World,1997-01-01,Wheat,5419,hg/ha,27157.0
18278,World,1998-01-01,Cranberries,5419,hg/ha,148548.0
18282,World,1998-01-01,Cucumbers and gherkins,5419,hg/ha,157353.0
18325,World,1998-01-01,"Ginger, raw",5419,hg/ha,31909.0
18337,World,1998-01-01,Green garlic,5419,hg/ha,95514.0
18428,World,1998-01-01,Oil palm fruit,5419,hg/ha,102894.0
18499,World,1998-01-01,"Pumpkins, squash and gourds",5419,hg/ha,121741.0
18515,World,1998-01-01,Rape or colza seed,5419,hg/ha,13777.0
18571,World,1998-01-01,Spinach,5419,hg/ha,130421.0
18632,World,1998-01-01,Watermelons,5419,hg/ha,216409.0
18635,World,1998-01-01,Wheat,5419,hg/ha,27063.0
18793,World,1999-01-01,Cranberries,5419,hg/ha,166670.0
18797,World,1999-01-01,Cucumbers and gherkins,5419,hg/ha,158185.0
